Keyword,Location,Company name,Category,Website,CountryCode,Phone,Email 1,Email 2,Email 3,Lat,Long,Address,City,State,Pincode,Rating count,Review,Cid,Maplink
"mobilya","ümraniye","Gülcan Mobilya","Home Furniture Shop","http://www.gulcanmobilya.com.tr/","+0","2166323431","","","","","","37,  Elmalıkent","Adem Yavuz Cd.","34764","Ümraniye/İstanbul","(40)","4.5","791039","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWNzdDJyMHZm&quot;,&quot;%22G%C3%BClcan+Mobilya%22&quot;,&quot;%22G%C3%BClcan+Mobilya%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Divanev I Ümraniye","Home Furniture Shop","https://www.divanev.com.tr/satis-noktalari/?utm_source=google&utm_medium=gbm&utm_campaign=istanbul-umraniye","+0","2164610051","","","","","","Son Durak,  İstiklal","Mithatpaşa Cd. No: 3/A","34760","Ümraniye/İstanbul","(141)","3.9","344519","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWprdzJ4M2Z5&quot;,&quot;%22Divanev+I+%C3%9Cmraniye%22&quot;,&quot;%22Divanev+I+%C3%9Cmraniye%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Sevilla Mobilya","Home Furniture Shop","https://sevillamobilya.com.tr/","+0","5465855334","","","","","","İstiklal","Sütçü İmam Cd. No:153","34764","Ümraniye/İstanbul","(129)","3.7","629229","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXJnZ19qOHFn&quot;,&quot;%22Sevilla+Mobilya%22&quot;,&quot;%22Sevilla+Mobilya%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","UĞURLU MOBİLYA","Home Furniture Shop","http://www.ugurlumobilya.com.tr/","+0","2164815988","","","","","","Haldun Alagaş Spor Tes.Kar,  İstiklal","Alemdağ Cd D:244","34760","Ümraniye/İstanbul","(38)","4.1","738600","https://www.google.com/localservices/prolist?spp=CgwvZy8xMm1sMm12djA%3D&quot;,&quot;%22U%C4%9EURLU+MOB%C4%B0LYA%22&quot;,&quot;%22U%C4%9EURLU+MOB%C4%B0LYA%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Kelebek Mobilya Ümraniye","Home Furniture Shop","http://kelebek.com/","+0","5453480034","","","","","","İstiklal","Marmara Cd. No:1/C","34762","Ümraniye/İstanbul","(139)","3.8","510765","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXEyNjh6NXNo&quot;,&quot;%22Kelebek+Mobilya+%C3%9Cmraniye%22&quot;,&quot;%22Kelebek+Mobilya+%C3%9Cmraniye%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Vivense İstanbul Ümraniye Oryapark Showroom","Home Furniture Shop","http://www.vivense.com/","+0","8504802535","","","","","","İnkılap Mahallesi Küçüksu Caddesi No:60 Oryapark","Avenue Dükkan:203","34768","Ümraniye/İstanbul","(218)","3.9","61162","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWZucDdjYjRt&quot;,&quot;%22Vivense+%C4%B0stanbul+%C3%9Cmraniye+Oryapark+Showroom%22&quot;,&quot;%22Vivense+%C4%B0stanbul+%C3%9Cmraniye+Oryapark+Showroom%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Cala Mobilya Ümraniye","Home Furniture Shop","http://www.calamobilya.com/","+0","5324312252","","","","","","İstiklal","Dolmabahçe Cd No:4","34764","Ümraniye/İstanbul","(21)","3.7","264438","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXM5MWtsZHZi&quot;,&quot;%22Cala+Mobilya+%C3%9Cmraniye%22&quot;,&quot;%22Cala+Mobilya+%C3%9Cmraniye%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Gündoğdu Mobilya İstanbul | Ümraniye","Home Furniture Shop","https://www.gundogdumobilya.com.tr/","+0","2163160022","","","","","","Atatürk mahallesi sütçü imam caddesi","Yayla Sk. no:3","34764","Ümraniye/İstanbul","(56)","3.7","548191","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXFybnAxNDFi&quot;,&quot;%22G%C3%BCndo%C4%9Fdu+Mobilya+%C4%B0stanbul+%7C+%C3%9Cmraniye%22&quot;,&quot;%22G%C3%BCndo%C4%9Fdu+Mobilya+%C4%B0stanbul+%7C+%C3%9Cmraniye%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Modoko","Home Furniture Shop","https://www.modoko.com.tr/","","4448855","","","","","","Yukarı Dudullu","3. Cd. Mobilyacılar Sites NO:294","34775","Ümraniye/İstanbul","(4,560)","4.1","450011","https://www.google.com/localservices/prolist?spp=CgsvZy8xdGRxeDFsdA%3D%3D&quot;,&quot;%22Modoko%22&quot;,&quot;%22Modoko%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Modoko Furniture Site","Home Furniture Shop","http://www.sahnemobilya.com/","+0","2163641392","","","","","","Yukarı Dudullu","2. Cd. No:183","34775","Ümraniye/İstanbul","(149)","4.1","403334","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWI3aGg2dnF2&quot;,&quot;%22Modoko+Furniture+Site%22&quot;,&quot;%22Modoko+Furniture+Site%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Gurbuz Alisveris Merkezi","Home Furniture Shop","http://www.gurbuzmobilya.com/","+0","8504410844","","","","","","Tepeüstü","Alemdağ Cd No:586/B","34771 Dudullu","Osb/Ümraniye/İstanbul","(196)","3.6","122516","https://www.google.com/localservices/prolist?spp=CgsvZy8xdGc1cmN5cQ%3D%3D&quot;,&quot;%22Gurbuz+Alisveris+Merkezi%22&quot;,&quot;%22Gurbuz+Alisveris+Merkezi%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Kargılı Mobilya - Ümraniye Showroom","Home Furniture Shop","https://www.kargilimobilya.com.tr/","+0","8502246300","","","","","","Bulgurlu Mahallesi,  110 A,  Dk: 1","Alemdağ Cd","34696","Üsküdar/İstanbul","(58)","3.8","111322","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWNuZDVmbTZ6&quot;,&quot;%22Karg%C4%B1l%C4%B1+Mobilya+-+%C3%9Cmraniye+Showroom%22&quot;,&quot;%22Karg%C4%B1l%C4%B1+Mobilya+-+%C3%9Cmraniye+Showroom%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","style Furniture","Home Furniture Shop","http://www.tarzmobilya.com/","+0","5454430445","","","","","","Atakent","Mithatpaşa Cd. No: 169A","34764","Ümraniye/İstanbul","(82)","4.3","100909","https://www.google.com/localservices/prolist?spp=CgsvZy8xdjZnYmdmNw%3D%3D&quot;,&quot;%22style+Furniture%22&quot;,&quot;%22style+Furniture%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Göktan mobilya","Home Furniture Shop","","","","","","","","","Atatürk","Zafer Sk. No.:13","34764","Ümraniye/İstanbul","(65)","2.4","265851","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXIyN205MWtw&quot;,&quot;%22G%C3%B6ktan+mobilya%22&quot;,&quot;%22G%C3%B6ktan+mobilya%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Ergül Mobilya","Home Furniture Shop","https://www.ergul.com.tr/","+0","5388661550","","","","","","İstiklal","Marmara Cd. No:5","34764","Ümraniye/İstanbul","(69)","4.1","870906","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMXNrMHNibXd2&quot;,&quot;%22Erg%C3%BCl+Mobilya%22&quot;,&quot;%22Erg%C3%BCl+Mobilya%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Selçuk Mobilya","Home Furniture Shop","https://iyifirma.com/selcuk-mobilya-umraniye/","","","","","","","","Atatürk","Sütçü İmam Cd. No:5","34764","Ümraniye/İstanbul","(10)","3.8","447094","https://www.google.com/localservices/prolist?spp=CgsvZy8xdGZ4X2p4ZA%3D%3D&quot;,&quot;%22Sel%C3%A7uk+Mobilya%22&quot;,&quot;%22Sel%C3%A7uk+Mobilya%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Bereket Mobilya AVM","Home Furniture Shop","","+0","2166302230","","","","","","Kazım Karabekir","Ordu Cd. No:17","34766","Ümraniye/İstanbul","(12)","4.0","838896","https://www.google.com/localservices/prolist?spp=CgsvZy8xdHJ6c3Ntbg%3D%3D&quot;,&quot;%22Bereket+Mobilya+AVM%22&quot;,&quot;%22Bereket+Mobilya+AVM%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Doğtaş Exclusive İstanbul Ümraniye","Home Furniture Shop","http://dogtas.com/","+0","2163166070","","","","","","","İstiklal Mah. Mithatpaşa Cad. Mert İş Merkezi Apt D:No : 5/A","34762","Ümraniye","(29)","3.1","800403","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWZma2RxazE4&quot;,&quot;%22Do%C4%9Fta%C5%9F+Exclusive+%C4%B0stanbul+%C3%9Cmraniye%22&quot;,&quot;%22Do%C4%9Fta%C5%9F+Exclusive+%C4%B0stanbul+%C3%9Cmraniye%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Luna Mobilya","Home Furniture Shop","","+0","5413294717","","","","","","İstiklal","Dolmabahçe Cd No:4","34762","Ümraniye/İstanbul","(17)","4.9","586574","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWZzcjNiYnFt&quot;,&quot;%22Luna+Mobilya%22&quot;,&quot;%22Luna+Mobilya%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","ÜMRANİYE FURNITURE SPOT","Home Furniture Shop","","+0","5323070632","","","","","","Namık Kemal","Cengiz Topel Cd. No:40","34762","Ümraniye/İstanbul","(40)","4.1","31640","https://www.google.com/localservices/prolist?spp=CgwvZy8xaGMxeDE2dzI%3D&quot;,&quot;%22%C3%9CMRAN%C4%B0YE+FURNITURE+SPOT%22&quot;,&quot;%22%C3%9CMRAN%C4%B0YE+FURNITURE+SPOT%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Rosso Home Ümraniye","Home Furniture Shop","http://www.rossohome.com/","+0","2166404155","","","","","","İstiklal","Alemdağ Cd No: 268","34000","Ümraniye/İstanbul","(42)","3.6","440835","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWZtNHpzeWw0&quot;,&quot;%22Rosso+Home+%C3%9Cmraniye%22&quot;,&quot;%22Rosso+Home+%C3%9Cmraniye%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","FATİH MOBİLYA (MUSTAFA SEZGİN )( ÜMRANİY","Home Furniture Shop","https://bellona.com.tr/","+0","2163351442","","","","","","","Atatürk Mah. Alemdağ Caddesi No: 101 34764 Ümraniye İstanbul anbul","34760","Ümraniye/İstanbul","(23)","4.0","212976","https://www.google.com/localservices/prolist?spp=CgwvZy8xaGMxZmsxYl8%3D&quot;,&quot;%22FAT%C4%B0H+MOB%C4%B0LYA+(MUSTAFA+SEZG%C4%B0N+)(+%C3%9CMRAN%C4%B0Y%22&quot;,&quot;%22FAT%C4%B0H+MOB%C4%B0LYA+(MUSTAFA+SEZG%C4%B0N+)(+%C3%9CMRAN%C4%B0Y%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Engince Mobilya Ümraniye","Home Furniture Shop","https://www.engince.com.tr/","+0","2164121060","","","","","","İstiklal","Dolmabahçe Cd No:2","34762","Ümraniye/İstanbul","(15)","3.2","943933","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWhkMXZiOWxj&quot;,&quot;%22Engince+Mobilya+%C3%9Cmraniye%22&quot;,&quot;%22Engince+Mobilya+%C3%9Cmraniye%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
"mobilya","ümraniye","Point Home Koltuk","Sofa store","","+0","5337196657","","","","","","Yukarı Dudullu","Bayrak Cd. no:22/A","34775","Ümraniye/İstanbul","(213)","4.8","779908","https://www.google.com/localservices/prolist?spp=Cg0vZy8xMWR4cWZzemRy&quot;,&quot;%22Point+Home+Koltuk%22&quot;,&quot;%22Point+Home+Koltuk%22&quot;,null,null,null,%5Bnull,null,null,null,null,64,null,1%5D%5D&src=1"
